taxid,parent,taxonomic_rank,scientific_name
taxon:1535102 [Escherichia sp. ESBL198B1_13_1A]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL198B1_13_1A
taxon:1645041 [Escherichia sp. UIWRF0916]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0916
taxon:1678503 [Escherichia sp. UIWRF0883]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0883
taxon:1535088 [Escherichia sp. ESBL134B1_13_2E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL134B1_13_2E
taxon:2093865 [Escherichia sp. MOD1-EC5287]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC5287
taxon:1472079 [Escherichia sp. A12_CLW]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. A12_CLW
taxon:2478966 [Escherichia sp. T.m.NI2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. T.m.NI2
taxon:1678508 [Escherichia sp. UIWRF0913]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0913
taxon:1563523 [Escherichia sp. ESBL300B1_13_3E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL300B1_13_3E
taxon:1405523 [Escherichia sp. AGH09]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. AGH09
taxon:753122 [Escherichia sp. V3M66]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. V3M66
taxon:2082633 [Escherichia sp. R19]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R19
taxon:1116749 [Escherichia sp. F24-PCAi-T3P21]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. F24-PCAi-T3P21
taxon:2044460 [Escherichia sp. E2748]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E2748
taxon:1391102 [Escherichia sp. DSD31]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. DSD31
taxon:1299483 [Escherichia sp. C5]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. C5
taxon:2872641 [Escherichia sp. pS-10]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. pS-10
taxon:754308 [Escherichia sp. B1225]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. B1225
taxon:2723296 [Escherichia sp. 11.1597]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 11.1597
taxon:2608867 [Escherichia ruysiae]@species,taxon:561 [Escherichia]@genus,species,Escherichia ruysiae
taxon:536479 [Escherichia sp. B4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. B4
taxon:2723302 [Escherichia sp. 14.0993]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 14.0993
taxon:1437739 [Escherichia sp. BAB-3409]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. BAB-3409
taxon:2003275 [Escherichia sp. NCCP-1802]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. NCCP-1802
taxon:1535122 [Escherichia sp. ESBL39B15_13_1E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL39B15_13_1E
taxon:1645064 [Escherichia sp. UIWRF0958]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0958
taxon:1808309 [Escherichia sp. E23]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E23
taxon:1644982 [Escherichia sp. UIWRF0750]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0750
taxon:1777387 [Escherichia sp. 71A.4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 71A.4
taxon:1808310 [Escherichia sp. E34]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E34
taxon:1824881 [Escherichia sp. Y5]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. Y5
taxon:1645069 [Escherichia sp. UIWRF0963]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0963
taxon:1716442 [Escherichia sp. CH-11]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. CH-11
taxon:754335 [Escherichia sp. TW11966]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. TW11966
taxon:2723311 [Escherichia sp. 93.1518]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 93.1518
taxon:1644954 [Escherichia sp. UIWRF0627]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0627
taxon:1645020 [Escherichia sp. UIWRF0853]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0853
taxon:1678507 [Escherichia sp. UIWRF0911]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0911
taxon:2653518 [Escherichia sp. AGR3720]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. AGR3720
taxon:1678479 [Escherichia sp. UIWRF0649]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0649
taxon:2870768 [Escherichia sp. NIC10]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. NIC10
taxon:1645007 [Escherichia sp. UIWRF0815]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0815
taxon:2082626 [Escherichia sp. R12]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R12
taxon:1535103 [Escherichia sp. ESBL19B1_13_1E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL19B1_13_1E
taxon:370987 [Escherichia sp. 7CR]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 7CR
taxon:1283964 [Escherichia sp. BV24]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. BV24
taxon:1777385 [Escherichia sp. 71A.2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 71A.2
taxon:1644983 [Escherichia sp. UIWRF0753]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0753
taxon:1645050 [Escherichia sp. UIWRF0930]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0930
taxon:1678450 [Escherichia sp. UIWRF0340]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0340
taxon:1697943 [Escherichia sp. NSESC01]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. NSESC01
taxon:416275 [Escherichia sp. daliu]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. daliu
taxon:1808306 [Escherichia sp. CR1]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. CR1
taxon:1645016 [Escherichia sp. UIWRF0846]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0846
taxon:761727 [Escherichia sp. II_B13]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. II_B13
taxon:2082623 [Escherichia sp. R9]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R9
taxon:1644920 [Escherichia sp. UIWRF0398]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0398
taxon:1645021 [Escherichia sp. UIWRF0854]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0854
taxon:1220667 [Escherichia sp. 105.30]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 105.30
taxon:1645039 [Escherichia sp. UIWRF0914]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0914
taxon:340725 [Escherichia sp. ML2-46]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ML2-46
taxon:2044466 [Escherichia sp. E4736]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E4736
taxon:2093897 [Escherichia sp. MOD1-EC6300]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC6300
taxon:2870762 [Escherichia sp. M626]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. M626
taxon:1645084 [Escherichia sp. UIWRF1146]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF1146
taxon:2040639 [Escherichia sp. E4385]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E4385
taxon:370990 [Escherichia sp. 23CR]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 23CR
taxon:1535108 [Escherichia sp. ESBL232B15_13_2E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL232B15_13_2E
taxon:2093880 [Escherichia sp. MOD1-EC5990]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC5990
taxon:2996464 [Escherichia sp. J-18004577]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. J-18004577
taxon:1169349 [Escherichia sp. KTE31]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. KTE31
taxon:1861673 [Escherichia sp. U1]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. U1
taxon:754327 [Escherichia sp. TW09231]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. TW09231
taxon:2800163 [Escherichia sp. XD97]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. XD97
taxon:1177956 [Escherichia sp. HPCKc-45]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. HPCKc-45
taxon:1163453 [Escherichia sp. ML-11]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ML-11
taxon:1678499 [Escherichia sp. UIWRF0831]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0831
taxon:480855 [Escherichia sp. 32]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 32
taxon:1644974 [Escherichia sp. UIWRF0704]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0704
taxon:1299475 [Escherichia sp. C25]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. C25
taxon:2082631 [Escherichia sp. R17]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R17
taxon:412886 [Escherichia sp. ZY-2006a]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ZY-2006a
taxon:1707429 [Escherichia sp. HH-51]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. HH-51
taxon:1644963 [Escherichia sp. UIWRF0648]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0648
taxon:754310 [Escherichia sp. B685]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. B685
taxon:1678456 [Escherichia sp. UIWRF0436]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0436
taxon:755228 [Escherichia sp. C013(2010)]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. C013(2010)
taxon:1535080 [Escherichia sp. 554B1_12EESBL]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 554B1_12EESBL
taxon:754312 [Escherichia sp. E1118]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E1118
taxon:2800170 [Escherichia sp. XD11]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. XD11
taxon:2870755 [Escherichia sp. M605]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. M605
taxon:1116726 [Escherichia sp. W8-PCAi-E14]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. W8-PCAi-E14
taxon:2509668 [Escherichia sp. SI077-1A]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. SI077-1A
taxon:754307 [Escherichia sp. B1147]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. B1147
taxon:2082619 [Escherichia sp. R4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. R4
taxon:1645078 [Escherichia sp. UIWRF1140]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF1140
taxon:1478282 [Escherichia sp. KVR_CO2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. KVR_CO2
taxon:1716460 [Escherichia sp. CH-9]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. CH-9
taxon:1822109 [Escherichia sp. GJ12]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. GJ12
taxon:2478975 [Escherichia sp. E14V7]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E14V7
taxon:2860337 [Escherichia sp. TM-G17TGC]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. TM-G17TGC
taxon:1563532 [Escherichia sp. ESBL530B1_13_4A]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL530B1_13_4A
taxon:1356214 [Escherichia sp. CAR47]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. CAR47
taxon:1507051 [Escherichia sp. VIT-SSA]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. VIT-SSA
taxon:223381 [Escherichia senegalensis]@species,taxon:561 [Escherichia]@genus,species,Escherichia senegalensis
taxon:2652394 [Escherichia sp. JL983]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. JL983
taxon:1848499 [Escherichia sp. MRL5B]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MRL5B
taxon:1644941 [Escherichia sp. UIWRF0508]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0508
taxon:1644969 [Escherichia sp. UIWRF0670]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0670
taxon:1356215 [Escherichia sp. FES45]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. FES45
taxon:1777389 [Escherichia sp. 76.4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 76.4
taxon:1645027 [Escherichia sp. UIWRF0868]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0868
taxon:1824880 [Escherichia sp. Y4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. Y4
taxon:1645067 [Escherichia sp. UIWRF0961]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0961
taxon:1678488 [Escherichia sp. UIWRF0716]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0716
taxon:1702039 [Escherichia sp. KHH18]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. KHH18
taxon:1678496 [Escherichia sp. UIWRF0810]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0810
taxon:1777379 [Escherichia sp. 39C.2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 39C.2
taxon:1472106 [Escherichia sp. E36_UTI]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E36_UTI
taxon:2723299 [Escherichia sp. 12.2612]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 12.2612
taxon:1644956 [Escherichia sp. UIWRF0632]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0632
taxon:754332 [Escherichia sp. TW10509]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. TW10509
taxon:2093889 [Escherichia sp. MOD1-EC6149]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC6149
taxon:1645098 [Escherichia sp. UIWRF1301]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF1301
taxon:2044458 [Escherichia sp. E2593]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E2593
taxon:1645029 [Escherichia sp. UIWRF0876]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0876
taxon:1220664 [Escherichia sp. 105.16]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 105.16
taxon:1644911 [Escherichia sp. UIWRF0198]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0198
taxon:1849446 [Escherichia sp. ZMQL3]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ZMQL3
taxon:1716461 [Escherichia sp. XT-31]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. XT-31
taxon:1472107 [Escherichia sp. E40_UTI]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. E40_UTI
taxon:2093862 [Escherichia sp. MOD1-EC4560]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MOD1-EC4560
taxon:1535078 [Escherichia sp. 512B2_12EESBL]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 512B2_12EESBL
taxon:1535134 [Escherichia sp. ESBL53bB15_13_1E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL53bB15_13_1E
taxon:1678451 [Escherichia sp. UIWRF0354]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0354
taxon:1302291 [Escherichia sp. 26N]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 26N
taxon:1678510 [Escherichia sp. UIWRF0922]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0922
taxon:1645066 [Escherichia sp. UIWRF0960]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0960
taxon:1182659 [Escherichia sp. KTE52]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. KTE52
taxon:1849448 [Escherichia sp. ZZ8K11]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ZZ8K11
taxon:754330 [Escherichia sp. TW09276]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. TW09276
taxon:1419606 [Escherichia sp. XJ134-1212-NF2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. XJ134-1212-NF2
taxon:1849430 [Escherichia sp. GMQS4]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. GMQS4
taxon:1645087 [Escherichia sp. UIWRF1149]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF1149
taxon:1563524 [Escherichia sp. ESBL301B1_13_3E]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. ESBL301B1_13_3E
taxon:1645045 [Escherichia sp. UIWRF0923]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0923
taxon:2939892 [Escherichia sp. WB2393]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. WB2393
taxon:1343183 [Escherichia sp. 49A]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 49A
taxon:2723298 [Escherichia sp. 12.2610]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 12.2610
taxon:1419664 [Escherichia sp. 2011SOCPBI2]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 2011SOCPBI2
taxon:1848674 [Escherichia sp. MYb97]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. MYb97
taxon:1644908 [Escherichia sp. UIWRF0176]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. UIWRF0176
taxon:1535081 [Escherichia sp. 900B6_12EESBL]@species,taxon:2608889 [unclassified Escherichia]@no rank,species,Escherichia sp. 900B6_12EESBL
taxon:562 [Escherichia coli]@species,taxon:561 [Escherichia]@genus,species,Escherichia coli
taxon:1151220 [Escherichia coli B29-2]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli B29-2
taxon:1116042 [Escherichia coli P0299438.7]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli P0299438.7
taxon:1181749 [Escherichia coli KTE203]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli KTE203
taxon:1005531 [Escherichia coli EC4439]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli EC4439
taxon:1116071 [Escherichia coli P0301867.8]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli P0301867.8
taxon:1116020 [Escherichia coli 2853500]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli 2853500
taxon:1481455 [Escherichia coli O6:HN]@serotype,taxon:562 [Escherichia coli]@species,serotype,Escherichia coli O6:HN
taxon:1281219 [Escherichia coli UMEA 3215-1]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli UMEA 3215-1
taxon:1412839 [Escherichia coli FCP1]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli FCP1
taxon:2491690 [Escherichia coli O2:H14]@strain,taxon:562 [Escherichia coli]@species,strain,Escherichia coli O2:H14
